datetime,stock,exchange,quantity,price,notional,bid,ask,condition
2021-04-01 07:58:18,193.4,EDGX,1130,193.5,"$218,655",193.25,193.7,Pre-Market
2021-04-01 08:23:47,193.4,Dark Pool,1100,193.2,"$212,520",193.2,193.5,Pre-Market
2021-04-01 09:09:02,193.4,Dark Pool,2000,192.8,"$385,600",192.8,192.81,Pre-Market
2021-04-01 09:30:01,191.45,NYSE,17032,193.36,"$3,293,308",193,193.69,Opening
2021-04-01 09:31:52,191.45,Dark Pool,1420,193.01,"$274,074",193.01,193.63,
2021-04-01 09:31:59,191.45,Dark Pool,1916,193.87,"$371,455",193.01,193.8,
2021-04-01 09:32:12,191.45,Dark Pool,1144,192.34,"$220,037",192.21,193.55,
2021-04-01 09:32:20,191.45,Dark Pool,1315,192.166,"$252,698",192.1,193.32,
2021-04-01 09:32:20,191.45,Dark Pool,1742,192.166,"$334,753",192.1,193.32,
2021-04-01 09:32:40,191.45,NYSE,1652,191,"$315,532",191,191.54,
2021-04-01 09:32:55,191.45,Dark Pool,1200,189.9,"$227,880",189.53,189.79,
2021-04-01 09:33:10,191.45,Dark Pool,3000,190.005,"$570,015",189.5,190.51,
2021-04-01 09:41:57,191.45,EDGX,1500,190,"$285,000",190,190.39,Sweep
2021-04-01 09:42:09,191.45,Dark Pool,1100,189.747,"$208,722",189.42,190.12,
2021-04-01 09:44:00,191.45,NASDAQ,1974,188.75,"$372,592",188.7,189.09,
2021-04-01 09:44:33,191.45,NYSE,1806,188,"$339,528",188,188.69,
2021-04-01 09:44:33,191.45,NYSE,2466,188,"$463,608",188,188.39,
2021-04-01 09:44:33,191.45,ARCA,1500,188,"$282,000",188,188.69,
2021-04-01 09:44:34,191.45,Dark Pool,2000,187.75,"$375,500",187.67,188.68,
2021-04-01 09:44:57,191.45,Dark Pool,1250,188.07,"$235,088",187.88,188.07,
2021-04-01 09:45:40,191.45,EDGX,1139,187,"$212,993",186.66,187,Sweep
2021-04-01 09:45:40,191.45,EDGX,2142,187,"$400,554",186.66,187,Sweep
2021-04-01 09:45:45,191.45,Dark Pool,1250,187.591,"$234,489",187.03,187.6,
2021-04-01 09:45:49,191.45,Dark Pool,1300,187.35,"$243,555",187.15,187.79,
2021-04-01 09:45:50,191.45,NYSE,2529,187,"$472,923",186.98,187,Sweep
2021-04-01 09:45:50,191.45,Dark Pool,1200,187.09,"$224,508",187.03,187.79,
2021-04-01 09:46:14,191.45,Dark Pool,1076,186.733,"$200,925",186.72,187.2,
2021-04-01 09:46:18,191.45,Dark Pool,1250,186.976,"$233,720",186.59,186.98,
2021-04-01 09:46:50,191.45,Dark Pool,1526,186.51,"$284,614",186.51,187.05,
2021-04-01 09:47:05,191.45,NYSE,4663,186.3,"$868,717",186.3,186.51,
2021-04-01 09:47:12,191.45,Dark Pool,1345,185.495,"$249,491",185.28,185.71,
2021-04-01 09:47:22,191.45,Dark Pool,1600,185.59,"$296,944",185.18,186,
2021-04-01 09:47:23,191.45,Dark Pool,1250,185.919,"$232,399",185.3,185.93,
2021-04-01 09:47:29,191.45,Dark Pool,1225,186.501,"$228,464",185.95,186.5,
2021-04-01 09:48:03,191.45,NYSE,2126,185,"$393,310",185,185.27,
2021-04-01 09:48:03,191.45,ARCA,1212,185,"$224,220",185,185.27,Sweep
2021-04-01 09:48:03,191.45,Dark Pool,1200,185,"$222,000",185,185.26,
2021-04-01 09:48:04,191.45,ARCA,1647,185,"$304,695",184.75,185.26,
2021-04-01 09:48:05,191.45,ARCA,1495,184.6,"$275,977",184.53,184.81,
2021-04-01 09:48:07,191.45,NYSE,1668,184,"$306,912",184,184.33,
2021-04-01 09:48:08,191.45,NYSE,3550,184,"$653,200",184,184.38,Sweep
2021-04-01 09:48:10,191.45,ARCA,1283,183.8,"$235,815",183.6,184.21,
2021-04-01 09:48:29,191.45,Dark Pool,6000,184.632,"$1,107,792",184,184.89,
2021-04-01 09:48:39,191.45,Dark Pool,1250,186.24,"$232,800",185.45,186.24,
2021-04-01 09:49:35,191.45,NASDAQ,1334,186.5,"$248,791",186.38,186.51,
2021-04-01 09:50:00,191.45,Dark Pool,7900,186.9,"$1,476,510",186.5,186.9,
2021-04-01 09:50:05,191.45,Dark Pool,1200,186.62,"$223,944",186.52,186.88,
2021-04-01 09:51:02,191.45,NYSE,1211,185,"$224,035",185,185.44,
2021-04-01 09:51:04,191.45,Dark Pool,5107,184,"$939,688",184,184.99,
2021-04-01 09:51:08,191.45,Dark Pool,1200,184.89,"$221,868",184.5,184.98,
2021-04-01 09:51:16,191.45,Dark Pool,2535,185.999,"$471,507",185.16,186,
2021-04-01 09:51:39,191.45,Dark Pool,2000,186.8,"$373,600",186.44,186.89,
2021-04-01 09:51:54,191.45,Dark Pool,2800,187,"$523,600",186.5,187,
2021-04-01 09:52:04,191.45,NYSE,1319,187,"$246,653",187,187.28,Sweep
2021-04-01 09:52:30,191.45,Dark Pool,2058,186.503,"$383,823",186.5,187.26,
2021-04-01 09:52:30,191.45,Dark Pool,1703,186.503,"$317,615",186.5,187.26,
2021-04-01 09:52:30,191.45,Dark Pool,2900,187,"$542,300",186.5,187.26,
2021-04-01 09:52:33,191.45,Dark Pool,3000,186.9,"$560,700",186.58,187.17,
2021-04-01 09:53:06,191.45,Dark Pool,4000,186.9,"$747,600",186.8,187.37,
2021-04-01 09:53:09,191.45,EDGX,2847,187,"$532,389",187,187.36,Sweep
2021-04-01 09:53:29,191.45,Dark Pool,2500,187.79,"$469,475",187.05,187.79,
2021-04-01 09:53:34,191.45,NYSE,2675,187.5,"$501,562",187,187.5,
2021-04-01 09:53:45,191.45,NYSE,1600,187.86,"$300,576",187.51,187.85,Sweep
2021-04-01 09:53:46,191.45,Dark Pool,1555,187.735,"$291,928",187.5,187.97,
2021-04-01 09:53:52,191.45,NYSE,1076,188,"$202,288",187.77,188,Sweep
2021-04-01 09:54:02,191.45,Dark Pool,1447,188.55,"$272,832",188.19,188.55,
2021-04-01 09:54:10,191.45,NYSE,1827,188.8,"$344,938",188.39,188.8,Sweep
2021-04-01 09:54:23,191.45,Dark Pool,1100,188.28,"$207,108",188.01,188.55,
2021-04-01 09:54:33,191.45,Dark Pool,1500,188.2,"$282,300",188.2,188.89,
2021-04-01 09:54:41,191.45,Dark Pool,1314,188.509,"$247,701",188.5,189.15,
2021-04-01 09:55:21,191.45,Dark Pool,1256,187.76,"$235,827",187.76,188.4,
2021-04-01 09:57:05,191.45,NYSE,1594,187,"$298,078",187,187.38,Sweep
2021-04-01 09:57:05,191.45,EDGX,2300,187,"$430,100",187,187.38,
2021-04-01 09:57:05,191.45,EDGX,2700,187,"$504,900",187,187.38,
2021-04-01 09:57:05,191.45,Dark Pool,4000,186.95,"$747,800",186.9,187.03,
2021-04-01 09:57:05,191.45,EDGX,3922,186.9,"$733,022",186.9,187.03,
2021-04-01 09:57:05,191.45,Dark Pool,1917,187,"$358,479",186.8,187.03,
2021-04-01 09:57:05,191.45,Dark Pool,3000,186.98,"$560,940",186.79,187.03,
2021-04-01 09:57:59,191.45,Dark Pool,1500,187.575,"$281,362",187.47,187.68,
2021-04-01 09:59:28,191.45,Dark Pool,1400,188.05,"$263,270",187.94,188.18,
2021-04-01 10:00:05,191.45,Dark Pool,1330,187.035,"$248,757",187.03,187.48,
2021-04-01 10:00:27,191.45,EDGX,3801,187,"$710,787",187,187.4,
2021-04-01 10:00:27,191.45,EDGX,3615,186.98,"$675,933",186.95,187.4,
2021-04-01 10:00:27,191.45,Dark Pool,3600,186.95,"$673,020",186.77,187.24,
2021-04-01 10:02:01,191.45,NASDAQ,1157,189,"$218,673",188.55,189.04,
2021-04-01 10:02:24,191.45,NASDAQ,1164,189.5,"$220,578",189.3,189.5,
2021-04-01 10:02:40,191.45,NYSE,1910,190,"$362,900",189.87,190,
2021-04-01 10:02:40,191.45,Dark Pool,1840,190.3,"$350,152",190.01,190.37,
2021-04-01 10:02:46,191.45,Dark Pool,1400,189.885,"$265,839",189.55,190.18,
2021-04-01 10:03:07,191.45,Dark Pool,1300,189.885,"$246,850",189.8,189.97,
2021-04-01 10:07:00,191.45,EDGX,2193,190.25,"$417,218",189.86,190.33,
2021-04-01 10:07:49,191.45,Dark Pool,2114,189.693,"$401,011",189.16,189.7,
2021-04-01 10:08:16,191.45,EDGX,2500,189.5,"$473,750",189.04,189.55,Sweep
2021-04-01 10:08:16,191.45,Dark Pool,1400,189.69,"$265,566",189.35,189.69,
2021-04-01 10:08:59,191.45,NASDAQ,2029,190.5,"$386,524",190.06,190.5,Sweep
2021-04-01 10:08:59,191.45,Dark Pool,2252,190.97,"$430,064",190.43,190.97,
2021-04-01 10:09:21,191.45,Dark Pool,1300,190.4,"$247,520",190.2,190.6,
2021-04-01 10:09:27,191.45,NYSE,1203,191,"$229,773",190.62,191,
2021-04-01 10:09:45,191.45,Dark Pool,1514,191,"$289,174",190.62,191.26,
2021-04-01 10:10:09,191.45,Dark Pool,1300,191.35,"$248,755",191.1,191.6,
