datetime,strike,quantity,price,notional,bid,ask,side,volatility,hedge,exchange,condition
2021-04-01T09:30:00Z,200,1,5,500,0.93,6.65,Mid,161.7,193.15,PEARL,Auto-Execution
2021-04-01T09:30:02Z,200,1,4.78,478,4.15,5.4,Mid,156.7,193.15,ISE,Multi-Leg
2021-04-01T09:30:04Z,200,4,5,2000,2.33,5.35,Mid,165.1,192.69,PHLX,Auto-Execution
2021-04-01T09:30:06Z,200,1,5,500,4.55,5,Ask,165.1,192.7,BOX,Auto-Execution
2021-04-01T09:30:08Z,200,1,4.71,471,4.3,5.4,Mid,158.9,192.65,CBOE,Multi-Leg
2021-04-01T09:30:08Z,200,1,4.85,485,4.3,5.4,Mid,162.1,192.65,CBOE,Auto-Execution
2021-04-01T09:30:10Z,200,10,5.3,5300,5.3,5.35,Bid,174.9,192.3,MIAX,Auto-Execution
2021-04-01T09:30:10Z,200,10,5.3,5300,5.3,5.35,Bid,174.9,192.3,MIAX,Auto-Execution
2021-04-01T09:30:14Z,200,21,4.83,10143,4.05,5.3,Mid,166.1,192.06,AMEX,Regular
2021-04-01T09:30:20Z,200,1,4.74,474,3.9,5.3,Mid,163.5,192.14,C2,Multi-Leg
2021-04-01T09:30:21Z,200,1,4.65,465,3.9,4.65,Ask,162.3,192.03,CBOE,Auto-Execution
2021-04-01T09:30:29Z,200,1,4.58,458,3.95,4.65,Mid,161.1,191.98,AMEX,Regular
2021-04-01T09:30:31Z,200,1,4.3,430,3.95,4.3,Ask,158.2,191.52,ISE-GEMINI,Auto-Execution
2021-04-01T09:30:46Z,200,2,4.3,860,4.3,4.65,Bid,154.8,191.97,BOX,Auto-Execution
2021-04-01T09:30:48Z,200,2,4.29,858,4,4.65,Mid,150.9,192.46,PHLX,Regular
2021-04-01T09:30:54Z,200,1,4.65,465,4.05,4.65,Ask,158.5,192.52,NASDAQ,Auto-Execution
2021-04-01T09:30:54Z,200,1,4.64,464,4.05,4.65,Mid,158.3,192.52,NASDAQ,Auto-Execution
2021-04-01T09:30:54Z,200,4,4.64,1856,4.05,4.65,Mid,158.3,192.52,NASDAQ,Auto-Execution
2021-04-01T09:30:56Z,200,1,4.66,466,4.1,5,Mid,158.9,192.5,PHLX,Regular
2021-04-01T09:30:56Z,200,1,4.65,465,4.05,4.65,Ask,158.7,192.5,CBOE,Auto-Execution
2021-04-01T09:30:56Z,200,1,4.65,465,4.05,4.65,Ask,158.7,192.5,CBOE,Auto-Execution
2021-04-01T09:30:57Z,200,2,4.36,872,4.1,5,Mid,152.1,192.5,ISE,Multi-Leg
2021-04-01T09:30:57Z,200,2,4.36,872,4.1,5,Mid,152.1,192.5,CBOE,Multi-Leg
2021-04-01T09:30:58Z,200,1,4.64,464,4.1,5,Mid,158.5,192.5,PHLX,Regular
2021-04-01T09:30:59Z,200,1,4.5,450,4.1,4.5,Ask,155.3,192.5,AMEX,Auto-Execution
2021-04-01T09:31:01Z,200,1,4.62,462,4.3,5,Mid,159.9,192.25,CBOE,Multi-Leg
2021-04-01T09:31:05Z,200,1,4.65,465,4.65,5,Bid,159.4,192.4,ISE-GEMINI,Auto-Execution
2021-04-01T09:31:05Z,200,5,4.61,2305,4.3,5,Mid,158.5,192.4,MIAX,Regular
2021-04-01T09:31:06Z,200,1,4.5,450,4.3,4.5,Ask,156.1,192.4,ARCA,Auto-Execution
2021-04-01T09:31:15Z,200,2,4.6,920,4.3,4.95,Mid,157.0,192.58,BATS,Auto-Execution
2021-04-01T09:31:18Z,200,10,4.76,4760,4.4,4.95,Mid,160.6,192.58,MERCURY,Regular
2021-04-01T09:31:20Z,200,8,4.67,3736,4.65,4.9,Mid,158.0,192.65,BATS,Auto-Execution
2021-04-01T09:31:30Z,200,1,4.99,499,4.65,5.15,Mid,162.8,192.98,MERCURY,Regular
2021-04-01T09:31:34Z,200,3,4.75,1425,4.65,5.15,Mid,157.0,193.03,CBOE,Regular
2021-04-01T09:31:36Z,200,1,5,500,4.65,5.15,Mid,162.6,193.03,BATS,Auto-Execution
